pH,0.2,0.7,0.7
DO,-0.37,0,0
BOD5,0.38,0.88,0.88
CODMn,0.26,0.76,0.76
TN,0.87,1.37,1.37
TP,0.36,0.86,0
TOC,0.49,0.99,0
DOC,0.58,1.08,0
TN,,0.85,1.35,1.35
NH3-N,0,0,0
NO3-N,0.69,1.19,1.19
DTP,0.54,0,0
PO4-P,0.16,0,0
