pH,3.32,3.33,3.51
DO,55.93,38.43,215.76
BOD5,57.39,46.02,115.69
CODMn,29.93,24.49,43.18
TN,9.38,15.28,25.68
TP,0.66,1.14,1.57
TOC,9.31,5.9,20.27
DOC,6.44,5.4,9.13
TN,,8.99,15.26,39.44
NH3-N,6.55,95.26,25.96
NO3-N,8.45,10.23,13.61
DTP,0.58,1.68,1.64
PO4-P,1.21,2.59,2.36
